GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
20150613.export.CSV:440749732	20150613	201506	2015	2015.4466	NZLMIL	NEW ZEALAND	NZL					MIL			NZLNIU	NIUE	NZL								1	036	036	03	1	4.0	10	1	10	-1.38248847926268	5	Auckland, Auckland, New Zealand	NZ	NZE7	-36.75	174.583	11483124	1	Niue	NE	NE	-19.0333	-169.867	NE	5	Auckland, Auckland, New Zealand	NZ	NZE7	-36.75	174.583	11483124	20150613	http://www.stuff.co.nz/auckland/69333026/Zoo-gears-up-for-arrival-of-Anjalee-the-elephant
20150613.export.CSV:440783217	20150613	201506	2015	2015.4466											NZLMIL	WELLINGTON	NZL					MIL			0	139	139	13	3	-7.0	6	1	6	-5.02692998204668	0							4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20150613	http://www.mirror.co.uk/news/world-news/battle-waterloo-200th-anniversary-soldier-5879288
20150613.export.CSV:440783830	20150613	201506	2015	2015.4466	NZLMIL	NEW ZEALAND	NZL					MIL			NZL	WELLINGTON	NZL								0	139	139	13	3	-7.0	1	1	1	-5.02692998204668	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20150613	http://www.mirror.co.uk/news/world-news/battle-waterloo-200th-anniversary-soldier-5879288
20150613.export.CSV:440783831	20150613	201506	2015	2015.4466	NZLMIL	NEW ZEALAND	NZL					MIL			NZL	WELLINGTON	NZL								0	139	139	13	3	-7.0	1	1	1	-5.02692998204668	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	20150613	http://www.mirror.co.uk/news/world-news/battle-waterloo-200th-anniversary-soldier-5879288
20150614.export.CSV:440823663	20150614	201506	2015	2015.4493	MIL	AIRMAN						MIL			NZL	NEW ZEALAND	NZL								1	193	193	19	4	-10.0	4	1	4	-3.16901408450704	1	France	FR	FR	46	2	FR	1	New Zealand	NZ	NZ	-41	174	NZ	1	New Zealand	NZ	NZ	-41	174	NZ	20150614	http://www.lincolnshireecho.co.uk/remember-37-men-73Sqn-RAF-Digby-Lincolnshire/story-26672889-detail/story.html
20150614.export.CSV:440823664	20150614	201506	2015	2015.4493	MIL	AIRMAN						MIL			NZL	NEW ZEALAND	NZL								1	193	193	19	4	-10.0	2	1	2	-3.16901408450704	1	New Zealand	NZ	NZ	-41	174	NZ	1	New Zealand	NZ	NZ	-41	174	NZ	1	New Zealand	NZ	NZ	-41	174	NZ	20150614	http://www.lincolnshireecho.co.uk/remember-37-men-73Sqn-RAF-Digby-Lincolnshire/story-26672889-detail/story.html
20150614.export.CSV:440840774	20150614	201506	2015	2015.4493	MIL	COMBAT TROOPS						MIL			NZL	OTAGO	NZL								1	040	040	04	1	1.0	10	1	10	0	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	20150614	http://www.3news.co.nz/nznews/aussie-term-digger-actually-from-nz-2015061416
20150614.export.CSV:440840775	20150614	201506	2015	2015.4493	MIL	COMBAT TROOPS						MIL			NZL	OTAGO	NZL								1	154	154	15	4	-7.2	9	1	9	0	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	1	Australia	AS	AS	-27	133	AS	20150614	http://www.3news.co.nz/nznews/aussie-term-digger-actually-from-nz-2015061416
20150614.export.CSV:440840776	20150614	201506	2015	2015.4493	MIL	COMBAT TROOPS						MIL			NZL	NEW ZEALAND	NZL								1	154	154	15	4	-7.2	1	1	1	0	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	20150614	http://www.3news.co.nz/nznews/aussie-term-digger-actually-from-nz-2015061416
20150614.export.CSV:440840777	20150614	201506	2015	2015.4493	MIL	COMBAT TROOPS						MIL			NZL	OTAGO	NZL								1	190	190	19	4	-10.0	10	1	10	0	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	20150614	http://www.3news.co.nz/nznews/aussie-term-digger-actually-from-nz-2015061416
